1000,Sequence Control
105021,Limit switch closed: No direction change for this homing mode
105022,Second limit switch signal received: Reference switch not found
105023,Incorrect limit switch signal received for current movement direction
105025,Homing offset with counting range correction cannot be set
105026,Basis movement parameters (with override) exceed speed limit value
105027,Basis movement parameters (with override) exceed acceleration limit value
105028,Current movement is not a basis movement
105029,Trigger ignored - remaining distance exceeds SW limit
105032,Acceleration too low - braking distance exceeds positive SW limit
105033,Acceleration too low - braking distance exceeds negative SW limit
105034,Homing procedure not possible: Encoder error
105035,Reference marks not detected
105036,Acceleration stop limit exceeded
F50025,Acceleration
105037,Homing procedure mode not possible: Wrong encoder type
105038,Homing procedure mode not possible: Restore data invalid
F50026,Detail
105039,Function not possible: Encoder error
105043,Homing procedure mode not possible: Compensation active
105044,Homing procedure mode not possible: Change of direction required
105101,Compensation gear: Limit values exceeded
F50027,State index
105102,Too many changes of cam per cycle (master period too short)
F50028,State index
105107,Cam coupling cannot be started: Parameter outside the valid range
F50029,Parameter ID
105110,Cam coupling aborted: Cyclic set positions missing
F50030,State index
105111,Cam coupling aborted: Encoder error
F50031,State index
105115,Restart command not possible: The cam automat is not active
105202,Cam Control: Switch positions not in ascending order
105300,Data block for upload is not available
105301,Start cam automat linkage not possible: Parameter outside the valid range
F50032,Parameter ID
105302,Parameter cannot be written: Cam automat active
105303,Cam data not available at index
105304,Format error in cam data
F50033,Detail
105311,Cam automat: Event leads to non initialized state
105315,Download error: Cam data in use by cam automat or function block
105316,Event type is not possible for entry in compensation gears
105319,Cam data not allowed for state 0
105329,No valid cam data
106000,Master sampling time is not a multiple of position controller sampling time
106002,Sync controller: Error tolerance of system time difference exceeded
106008,Controller is already active
106014,Drive initialization active
106017,Software: Watchdog active
106018,Hardware: Internal power supply failure
106019,ACOPOS: Overcurrent
106020,Control supply: Undervoltage
106021,Low level at controller enable input
106023,Voltage sag at controller enable input
106026,Holding brake: Stator current limit exceeded during release
106027,Holding brake: Manual operation not permitted
106029,Holding brake: Control signal on and output status off
106030,"Holding brake: Brake output is active, but no brake entered in motor data"
106031,System module already deleted
106032,Interface: FPGA configuration error
F50034,Slot
106033,Type of servo amplifier is not supported by ACOPOS-firmware
F50035,Error ID
106034,Cyclic set value mode aborted: Set speeds missing
106036,Motor parameters missing or invalid
F50036,Parameter ID
106038,Torque limit higher than peak motor torque
F50037,Peak motor torque
106043,PHASING_MODE is not valid
F50038,PHASING_MODE
106044,Phasing: Rotational direction or position not valid
F50039,Calculated number of polepairs
106045,Inverter: Output: No current flow
F50040,Phase
106046,Phasing: No rotor movement
106047,Holding brake: Control signal off and output status on
106048,Motor holding brake movement monitor: Position error too large
106049,Inverter: Output: Current measurement faulty
F50041,Phase
106050,Write parameter not allowed: Set current filter or notch filter active
106051,Phasing: Speed to high
F50042,Speed limit
106052,Power stage: High-side: Overcurrent
106053,Power stage: Low-side: Overcurrent
106054,Power stage: Overcurrent
106055,Holding brake: Low voltage
106056,Holding brake: Low current
106057,Position loop controller: Load encoder error
106058,Enable1: Voltage sag
106059,Enable2: Voltage sag
106060,Power stage: Limit speed exceeded
F50043,Limit speed
106061,CTRL Speed controller: Limit speed exceeded
F50044,Limit speed
106062,CTRL Speed controller: Speed error stop limit exceeded
F50045,Limit value AXLIM_DV_STOP
106063,Holding brake: External voltage on output over 24V
106064,Parameter cannot be written: Repetitive Control active
106065,Initialization active
F50046,Initialization number
106066,Index overflow while initilization of matrices
F50047,Index overflow
106067,Error during initialization of the dynamical system
F50048,Error code
106068,Parameter cannot be written while a brake test is active
F50049,Error code
106069,Holding brake: Overcurrent
106070,Parameter cannot be written: Phasing procedure active
106071,Phasing: Number of polepairs MOTOR_POLEPAIRS not valid
F50050,Calculated number of polepairs
106072,Holding brake: High voltage
106073,Additional control function in error state
F50051,Error status
106074,Control supply: Overvoltage
F50052,Limit value
106075,Initialization of load simulation failed
106076,Inverter: Wiring: Phase sequence not correct
107000,Encoder: Error active
F50053,Encoder
107012,Encoder: Hiperface error bit
F50054,Encoder
107013,Encoder: Status message
F50055,Status code
107014,Encoder: CRC error during parameter transfer
F50056,Encoder
107015,Encoder: Timeout error during parameter transfer
F50057,Encoder
107017,Encoder: Error while reading encoder parameter
F50058,Encoder
107022,Encoder: Initialization is active
F50059,Encoder
107023,Encoder: Parameter transfer is active
F50060,Encoder
107029,Encoder: Incremental signal amplitude too small
F50061,Encoder
107030,Encoder: Incremental signal amplitude too large
F50062,Encoder
107031,Encoder: Incremental signal amplitude too large (Disturbance)
F50063,Encoder
107032,"Encoder: Incremental signal amplitude too small (Disturbance, no connection)"
F50064,Encoder
107033,Encoder: Incremental position step too large
F50065,Encoder
107036,Encoder: Interface ID invalid (Check slot and Interface EEPROM data)
F50066,Encoder
107038,Encoder: Position value not synchronous with absolute value
F50067,Encoder
107039,Incremental encoder: Cable disturbance track A
F50068,Encoder
107040,Incremental encoder: Cable disturbance track B
F50069,Encoder
107041,Incremental encoder: Cable disturbance track R
F50070,Encoder
107042,Incremental encoder: Edge distance of quadrature signal too small
F50071,Encoder
107043,Encoder: Cable disturbance track D
F50072,Encoder
107044,Encoder: Parity
F50073,Encoder
107045,Resolver: Signal disturbance (plausibility check)
F50074,Encoder
107046,Resolver: Cable disturbance
F50075,Encoder
107047,Invalid distance of reference marks
F50076,Distance
107048,Error during the reading of encoder memory
F50077,Encoder
107049,Abnormal encoder current consumption
F50078,Encoder
107050,Incremental encoder: Illegal AB signal change
F50079,Encoder
107051,Encoder: Acceleration too large (Disturbance)
F50080,Encoder
107052,Encoder: Encoder is not Supported
F50081,Encoder
107053,Encoder: Power supply faulty
F50082,Encoder
107054,Encoder: Position in channel already defined
F50083,Encoder
107055,Encoder: Invalid content type 'frame end'
F50084,Encoder
107057,Encoder: Register read/write forbidden or not implemented
F50085,Encoder
107058,Encoder: Alarm bit is set
F50086,Encoder
107059,Virtual Encoder: Error state
F50087,PARID_ENCOD0_STATUS
107060,Virtual Encoder: Transition error
F50088,PARID_ENCOD0_STATUS
107061,Virtual Encoder: stall detection
F50089,PARID_ENCOD0_STATUS
107062,Encoder: SMC module not ready
F50090,Encoder
107063,Encoder: Error in the UART communication
F50091,Encoder
107064,Encoder: Error in the SMC communication
F50092,Encoder
107065,Encoder: Encod type invalid
F50093,Encoder
107066,Encoder: Encoder not ready
F50094,Encoder
107067,EnDat encoder: SMC modul not in operational state
F50095,Encoder
107068,Encoder: Maximum cycle time exceeded
F50096,Encoder
107069,Encoder: encoder error filter activ
F50097,Encoder
107070,Encoder: Lag error stop limit exceeded
F50098,Current lag error
107071,Encoder: Limit speed error exceeded
F50099,Speed error
107072,Encoder: Transfer time position exceeded
F50100,Encoder
107073,Encoder: Multiturn failure
F50101,Encoder
107074,Encoder: SafeMOTION error
F50102,Encoder
107075,Encoder: Incorrect configuration encoder type
F50103,Encoder
107076,Encoder: Data transfer active
F50104,Motor: Dataset index
107077,Encoder: Encoder evaluation blocked by the SafeMOTION configuration
F50105,Encoder
107078,Encoder: Inter-segment communication failed
F50106,Side
107079,Encoder: Internal error
F50107,-
107080,Encoder: Error in the encoder communication
F50108,Encoder
107081,Encoder: Timeout during initialization
F50109,Encoder
107082,Encoder: Link to encoder disturbed
F50110,Encoder
107083,"Reference pulse monitoring: Faulty position, resolution, or reference pulse"
F50111,Encoder
107084,Encoder: Error in the position evaluation
F50112,Encoder
107085,Encoder: SafeMOTION not initialized
F50113,Encoder
107087,Encoder Emulation: Network connection interrupted
F50114,Encoder
107089,Encoder: HIPERFACE DSL: Online status: Bit 2: QMLW: Quality monitor. Low-level
F50115,Encoder
107090,Encoder: HIPERFACE DSL: Online status: Bit 3: FIX0: Bit not '0'
F50116,Encoder
107091,Encoder: HIPERFACE DSL: Online status: Bit 8: PRST: Protocol reset
F50117,Encoder
107092,Encoder: HIPERFACE DSL: Online status: Bit 9: DTE: Deviation Threshold Error
F50118,Encoder
107093,Encoder: HIPERFACE DSL: Online status: Bit 12: FIX1: Bit not '1'
F50119,Encoder
107094,Encoder: HIPERFACE DSL: Online status: Bit 14: SUM: Summary byte enc. status
F50120,Encoder
107100,Parameter function not supported. (Module ?)
107103,Incompatible interface
F50121,Interface + additional info
107104,Initialization aborted
F50122,Slot
107200,DC bus: Overvoltage
107210,DC bus: Pre-charging: Voltage unstable
107211,DC bus: Voltage dip
F50123,Low voltage limit
107212,DC bus: Large voltage dip
F50124,Low voltage limit
107214,DC bus: Pre-charging resistor hot (too many power line fails)
107215,Power mains: At least one phase of the power line failed
107217,DC bus: Nominal voltage detection: Voltage too high
F50125,Maximum DC bus voltage
107218,DC bus: Nominal voltage detection: Voltage too low
F50126,Minimum required DC bus voltage
107219,DC bus: Pre-charging: Voltage too low
F50127,Minimum required DC bus voltage
107220,DC bus: Nominal voltage detection: Voltage not allowed
F50128,DC bus voltage
107221,Mains: Failure
F50129,Line frequency
107222,Inverter: Output: Summation current: Overcurrent (Ground fault)
